Intersection_ID,Time,Traffic_Density,Light_Timing,Vehicle_Count
1,08:00:00,50,30,15
2,08:05:00,65,25,20
3,08:10:00,70,40,25
1,08:15:00,55,30,18
2,08:20:00,60,20,22
3,08:25:00,75,45,30
1,08:30:00,80,35,28
2,08:35:00,68,25,23
3,08:40:00,72,50,27
1,08:45:00,58,30,20
2,08:50:00,62,20,24
3,08:55:00,74,45,32
1,09:00:00,82,30,29
2,09:05:00,66,25,21
3,09:10:00,77,40,26
1,09:15:00,59,30,19
2,09:20:00,63,20,25
3,09:25:00,76,45,31
1,09:30:00,81,30,27
2,09:35:00,67,25,22
3,09:40:00,73,40,28
1,09:45:00,57,30,18
2,09:50:00,61,20,24
3,09:55:00,78,45,30
1,10:00:00,83,30,30
2,10:05:00,69,25,26
3,10:10:00,79,40,29
1,10:15:00,56,30,15
2,10:20:00,64,20,21
3,10:25:00,80,45,33
1,10:30:00,84,30,31
2,10:35:00,70,25,27
3,10:40:00,75,40,28
1,10:45:00,58,30,16
2,10:50:00,62,20,23
3,10:55:00,76,45,34
1,11:00:00,85,30,32
2,11:05:00,68,25,28
3,11:10:00,74,40,26
1,11:15:00,55,30,14
2,11:20:00,63,20,22
3,11:25:00,77,45,29
1,11:30:00,82,30,30
2,11:35:00,66,25,24
3,11:40:00,78,40,31
1,11:45:00,59,30,19
2,11:50:00,61,20,23
3,11:55:00,80,45,35
1,12:00:00,81,30,28
2,12:05:00,67,25,25
3,12:10:00,73,40,30
1,12:15:00,56,30,16
2,12:20:00,64,20,21
3,12:25:00,79,45,34
1,12:30:00,86,30,33
2,12:35:00,70,25,27
3,12:40:00,74,40,29
1,12:45:00,55,30,15
2,12:50:00,62,20,22
3,12:55:00,81,45,31
1,13:00:00,83,30,30
2,13:05:00,68,25,26
3,13:10:00,77,40,28
1,13:15:00,54,30,14
2,13:20:00,63,20,24
3,13:25:00,76,45,29
1,13:30:00,82,30,30
2,13:35:00,66,25,22
3,13:40:00,78,40,56
1,13:40:00,78,40,30
2,13:45:00,69,25,26
3,13:50:00,74,45,31
1,13:55:00,55,30,17
2,14:00:00,64,20,23
3,14:05:00,82,40,35
1,14:10:00,85,30,34
2,14:15:00,60,25,21
3,14:20:00,75,45,29
1,14:25:00,57,30,16
2,14:30:00,61,20,24
3,14:35:00,79,40,32
1,14:40:00,84,30,30
2,14:45:00,66,25,27
3,14:50:00,72,45,28
1,14:55:00,56,30,18
2,15:00:00,63,20,23
3,15:05:00,81,40,34
1,15:10:00,82,30,29
2,15:15:00,68,25,25
3,15:20:00,76,45,30
1,15:25:00,58,30,19
2,15:30:00,62,20,22
3,15:35:00,78,40,36
1,15:40:00,83,30,33
2,15:45:00,67,25,28
3,15:50:00,73,45,31
1,15:55:00,55,30,15
2,16:00:00,64,20,21
3,16:05:00,80,40,30
1,16:10:00,87,30,35
2,16:15:00,70,25,26
3,16:20:00,74,45,29
1,16:25:00,56,30,16
2,16:30:00,61,20,24
3,16:35:00,79,40,35
1,16:40:00,83,30,28
2,16:45:00,66,25,22
3,16:50:00,77,45,30
1,16:55:00,54,30,14
2,17:00:00,63,20,23
3,17:05:00,76,40,29
1,17:10:00,85,30,34
2,17:15:00,62,25,25
3,17:20:00,78,45,31
1,17:25:00,55,30,15
2,17:30:00,69,20,27
3,17:35:00,74,40,29
1,17:40:00,59,30,18
2,17:45:00,61,25,24
3,17:50:00,82,40,36
1,17:55:00,86,30,35
2,18:00:00,67,25,28
3,18:05:00,75,45,30
1,18:10:00,53,30,14
2,18:15:00,60,20,22
3,18:20:00,79,40,33
1,18:25:00,83,30,30
