Intersection_ID,Time,Traffic_Density,Light_Timing,Vehicle_Count
1,1900-01-01 08:00:00,50,30,16
2,1900-01-01 08:05:00,65,25,22
3,1900-01-01 08:10:00,70,40,27
1,1900-01-01 08:15:00,55,30,19
2,1900-01-01 08:20:00,60,20,24
3,1900-01-01 08:25:00,75,45,33
1,1900-01-01 08:30:00,80,35,30
2,1900-01-01 08:35:00,68,25,25
3,1900-01-01 08:40:00,72,50,29
1,1900-01-01 08:45:00,58,30,22
2,1900-01-01 08:50:00,62,20,26
3,1900-01-01 08:55:00,74,45,35
1,1900-01-01 09:00:00,82,30,29
2,1900-01-01 09:05:00,66,25,21
3,1900-01-01 09:10:00,77,40,26
1,1900-01-01 09:15:00,59,30,19
2,1900-01-01 09:20:00,63,20,25
3,1900-01-01 09:25:00,76,45,31
1,1900-01-01 09:30:00,81,30,27
2,1900-01-01 09:35:00,67,25,22
3,1900-01-01 09:40:00,73,40,28
1,1900-01-01 09:45:00,57,30,18
2,1900-01-01 09:50:00,61,20,24
3,1900-01-01 09:55:00,78,45,30
1,1900-01-01 10:00:00,83,30,30
2,1900-01-01 10:05:00,69,25,26
3,1900-01-01 10:10:00,79,40,29
1,1900-01-01 10:15:00,56,30,15
2,1900-01-01 10:20:00,64,20,21
3,1900-01-01 10:25:00,80,45,33
1,1900-01-01 10:30:00,84,30,31
2,1900-01-01 10:35:00,70,25,27
3,1900-01-01 10:40:00,75,40,28
1,1900-01-01 10:45:00,58,30,16
2,1900-01-01 10:50:00,62,20,23
3,1900-01-01 10:55:00,76,45,34
1,1900-01-01 11:00:00,85,30,32
2,1900-01-01 11:05:00,68,25,28
3,1900-01-01 11:10:00,74,40,26
1,1900-01-01 11:15:00,55,30,14
2,1900-01-01 11:20:00,63,20,22
3,1900-01-01 11:25:00,77,45,29
1,1900-01-01 11:30:00,82,30,30
2,1900-01-01 11:35:00,66,25,24
3,1900-01-01 11:40:00,78,40,31
1,1900-01-01 11:45:00,59,30,19
2,1900-01-01 11:50:00,61,20,23
3,1900-01-01 11:55:00,80,45,35
1,1900-01-01 12:00:00,81,30,28
2,1900-01-01 12:05:00,67,25,25
3,1900-01-01 12:10:00,73,40,30
1,1900-01-01 12:15:00,56,30,16
2,1900-01-01 12:20:00,64,20,21
3,1900-01-01 12:25:00,79,45,34
1,1900-01-01 12:30:00,86,30,33
2,1900-01-01 12:35:00,70,25,27
3,1900-01-01 12:40:00,74,40,29
1,1900-01-01 12:45:00,55,30,15
2,1900-01-01 12:50:00,62,20,22
3,1900-01-01 12:55:00,81,45,31
1,1900-01-01 13:00:00,83,30,30
2,1900-01-01 13:05:00,68,25,26
3,1900-01-01 13:10:00,77,40,28
1,1900-01-01 13:15:00,54,30,14
2,1900-01-01 13:20:00,63,20,24
3,1900-01-01 13:25:00,76,45,29
1,1900-01-01 13:30:00,82,30,30
2,1900-01-01 13:35:00,66,25,22
3,1900-01-01 13:40:00,78,40,56
1,1900-01-01 13:40:00,78,40,30
2,1900-01-01 13:45:00,69,25,26
3,1900-01-01 13:50:00,74,45,31
1,1900-01-01 13:55:00,55,30,17
2,1900-01-01 14:00:00,64,20,23
3,1900-01-01 14:05:00,82,40,35
1,1900-01-01 14:10:00,85,30,34
2,1900-01-01 14:15:00,60,25,21
3,1900-01-01 14:20:00,75,45,29
1,1900-01-01 14:25:00,57,30,16
2,1900-01-01 14:30:00,61,20,24
3,1900-01-01 14:35:00,79,40,32
1,1900-01-01 14:40:00,84,30,30
2,1900-01-01 14:45:00,66,25,27
3,1900-01-01 14:50:00,72,45,28
1,1900-01-01 14:55:00,56,30,18
2,1900-01-01 15:00:00,63,20,23
3,1900-01-01 15:05:00,81,40,34
1,1900-01-01 15:10:00,82,30,29
2,1900-01-01 15:15:00,68,25,25
3,1900-01-01 15:20:00,76,45,30
1,1900-01-01 15:25:00,58,30,19
2,1900-01-01 15:30:00,62,20,22
3,1900-01-01 15:35:00,78,40,36
1,1900-01-01 15:40:00,83,30,33
2,1900-01-01 15:45:00,67,25,28
3,1900-01-01 15:50:00,73,45,31
1,1900-01-01 15:55:00,55,30,15
2,1900-01-01 16:00:00,64,20,21
3,1900-01-01 16:05:00,80,40,30
1,1900-01-01 16:10:00,87,30,35
2,1900-01-01 16:15:00,70,25,26
3,1900-01-01 16:20:00,74,45,29
1,1900-01-01 16:25:00,56,30,16
2,1900-01-01 16:30:00,61,20,24
3,1900-01-01 16:35:00,79,40,35
1,1900-01-01 16:40:00,83,30,28
2,1900-01-01 16:45:00,66,25,22
3,1900-01-01 16:50:00,77,45,30
1,1900-01-01 16:55:00,54,30,14
2,1900-01-01 17:00:00,63,20,23
3,1900-01-01 17:05:00,76,40,29
1,1900-01-01 17:10:00,85,30,34
2,1900-01-01 17:15:00,62,25,25
3,1900-01-01 17:20:00,78,45,31
1,1900-01-01 17:25:00,55,30,15
2,1900-01-01 17:30:00,69,20,27
3,1900-01-01 17:35:00,74,40,29
1,1900-01-01 17:40:00,59,30,18
2,1900-01-01 17:45:00,61,25,24
3,1900-01-01 17:50:00,82,40,36
1,1900-01-01 17:55:00,86,30,35
2,1900-01-01 18:00:00,67,25,28
3,1900-01-01 18:05:00,75,45,30
1,1900-01-01 18:10:00,53,30,14
2,1900-01-01 18:15:00,60,20,22
3,1900-01-01 18:20:00,79,40,33
1,1900-01-01 18:25:00,83,30,30
